Date,NHS Ayrshire & Arran,NHS Borders,NHS Dumfries & Galloway,NHS Fife,NHS Forth Valley,NHS Grampian,NHS Greater Glasgow & Clyde,NHS Highland,NHS Lanarkshire,NHS Lothian,NHS Orkney,NHS Shetland,NHS Tayside,NHS Western Isles,Scotland
3/7/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,16
3/8/20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,21
3/9/20,*,*,*,*,*,*,*,*,*,5,*,*,*,*,23
3/10/20,*,*,*,*,*,6,*,*,*,7,*,*,*,*,27
3/11/20,*,*,*,*,*,6,5,*,*,8,*,*,*,*,36
3/12/20,*,*,*,*,6,7,10,*,7,11,*,6,*,*,60
3/13/20,*,*,*,*,6,9,20,*,7,19,*,8,*,*,84
3/14/20,6,5,*,6,6,9,31,*,10,25,*,13,11,*,123
3/15/20,6,7,*,7,10,12,39,*,16,28,*,13,15,*,155
3/16/20,6,7,*,7,10,12,44,*,20,29,*,15,17,*,170
3/17/20,6,7,*,7,12,18,49,5,21,30,*,15,20,*,191
3/18/20,9,7,*,8,15,18,57,5,25,33,*,16,24,*,221
3/19/20,12,8,6,9,17,18,71,6,33,35,*,24,27,*,266
3/20/20,16,9,10,12,23,19,91,6,41,40,*,24,31,*,322
3/21/20,21,10,13,13,27,20,110,8,49,44,*,24,34,*,373
3/22/20,25,11,16,16,30,23,130,8,49,46,*,24,38,*,416
3/23/20,34,12,18,19,40,24,152,12,58,59,*,24,47,*,499
3/24/20,41,12,26,25,43,24,183,13,75,70,*,24,48,*,584
3/25/20,57,15,31,29,59,29,221,22,87,88,*,24,57,*,719
3/26/20,74,23,39,40,75,31,258,29,114,111,*,24,76,*,894
3/27/20,75,28,47,41,81,45,299,33,140,139,*,24,107,*,"1,059"
3/28/20,90,35,60,51,94,52,376,36,165,151,*,27,127,*,"1,264"
3/29/20,108,50,63,58,94,62,401,41,184,188,*,27,141,*,"1,417"
3/30/20,154,63,74,70,103,66,449,44,197,208,*,27,177,*,"1,632"
3/31/20,177,77,92,76,131,86,547,51,244,269,*,29,214,*,"1,993"
4/1/20,199,87,100,96,146,108,632,58,284,311,*,30,254,*,"2,310"
4/2/20,221,93,104,119,172,128,682,65,320,356,*,30,307,*,"2,602"
4/3/20,240,100,122,147,189,173,779,72,377,408,*,36,353,*,"3,001"
4/4/20,254,110,127,173,208,177,851,85,427,476,*,40,410,*,"3,345"
4/5/20,267,130,141,200,226,194,931,99,478,534,*,41,457,*,"3,706"
4/6/20,288,139,144,227,231,209,984,102,512,577,*,41,499,*,"3,961"
4/7/20,296,149,152,239,243,210,"1,094",112,547,621,*,42,516,*,"4,229"
4/8/20,312,160,155,255,259,223,"1,166",122,575,700,*,43,586,*,"4,565"
4/9/20,362,167,163,288,280,236,"1,251",137,607,747,*,43,667,*,"4,957"
4/10/20,364,177,164,333,302,251,"1,314",144,662,799,*,43,712,*,"5,275"
4/11/20,376,189,179,356,324,261,"1,387",148,707,856,5,43,753,6,"5,590"
4/12/20,390,199,186,379,337,291,"1,449",151,758,915,5,43,803,6,"5,912"
4/13/20,390,204,192,383,352,313,"1,486",163,784,932,5,45,812,6,"6,067"
4/14/20,416,208,199,397,367,335,"1,575",168,822,989,5,45,826,6,"6,358"
4/15/20,457,215,207,424,380,357,"1,661",180,873,"1,040",5,45,898,6,"6,748"
4/16/20,503,220,207,446,400,389,"1,742",184,911,"1,107",5,45,937,6,"7,102"
4/17/20,536,229,209,488,431,394,"1,794",187,934,"1,172",5,45,979,6,"7,409"
4/18/20,560,231,222,514,451,432,"1,905",193,995,"1,239",5,45,"1,022",6,"7,820"
4/19/20,586,237,229,532,509,464,"1,949",197,"1,022","1,344",5,51,"1,056",6,"8,187"
4/20/20,604,239,231,542,542,490,"2,020",198,"1,051","1,399",6,51,"1,071",6,"8,450"
4/21/20,623,240,231,561,562,519,"2,085",201,"1,076","1,426",6,52,"1,084",6,"8,672"
4/22/20,640,243,235,593,569,550,"2,174",211,"1,118","1,515",6,54,"1,124",6,"9,038"
4/23/20,653,248,235,619,604,602,"2,250",214,"1,155","1,604",6,54,"1,159",6,"9,409"
4/24/20,678,253,235,637,606,638,"2,311",214,"1,176","1,684",6,54,"1,199",6,"9,697"
4/25/20,692,258,237,653,655,700,"2,428",220,"1,187","1,730",7,54,"1,224",6,"10,051"
4/26/20,705,259,240,672,662,748,"2,479",225,"1,231","1,785",7,54,"1,251",6,"10,324"
4/27/20,721,269,243,681,680,771,"2,531",228,"1,265","1,804",7,54,"1,261",6,"10,521"
4/28/20,738,272,243,692,689,782,"2,604",232,"1,297","1,832",7,54,"1,273",6,"10,721"
4/29/20,745,279,244,712,717,813,"2,672",236,"1,329","1,907",7,54,"1,313",6,"11,034"
4/30/20,762,279,246,737,724,834,"2,759",242,"1,374","1,980",7,54,"1,349",6,"11,353"
5/1/20,778,281,249,750,747,866,"2,864",259,"1,400","2,014",7,54,"1,379",6,"11,654"
5/2/20,793,283,250,768,757,889,"2,939",288,"1,436","2,065",7,54,"1,392",6,"11,927"
5/3/20,799,284,250,776,788,898,"2,985",297,"1,454","2,089",7,54,"1,410",6,"12,097"
5/4/20,818,284,250,778,794,931,"3,029",299,"1,492","2,113",7,54,"1,411",6,"12,266"
5/5/20,825,284,254,784,802,946,"3,070",307,"1,520","2,149",7,54,"1,429",6,"12,437"
5/6/20,846,285,254,792,809,957,"3,203",310,"1,541","2,200",7,54,"1,445",6,"12,709"
5/7/20,853,286,254,801,818,973,"3,277",313,"1,576","2,241",7,54,"1,465",6,"12,924"
5/8/20,885,286,255,804,828,"1,001","3,333",317,"1,628","2,274",7,54,"1,471",6,"13,149"
5/9/20,895,286,255,810,828,"1,035","3,367",317,"1,635","2,324",7,54,"1,486",6,"13,305"
5/10/20,904,286,255,811,828,"1,050","3,449",320,"1,660","2,359",7,54,"1,497",6,"13,486"
5/11/20,912,292,255,813,839,"1,078","3,479",322,"1,693","2,380",7,54,"1,497",6,"13,627"
5/12/20,925,294,255,813,856,"1,102","3,510",324,"1,715","2,397",7,54,"1,505",6,"13,763"
5/13/20,946,297,254,816,859,"1,123","3,579",324,"1,721","2,428",7,54,"1,515",6,"13,929"
5/14/20,952,298,255,823,863,"1,142","3,628",328,"1,762","2,459",7,54,"1,540",6,"14,117"
5/15/20,964,304,255,824,867,"1,152","3,663",331,"1,781","2,497",7,54,"1,555",6,"14,260"
5/16/20,966,310,257,824,871,"1,181","3,707",331,"1,812","2,539",7,54,"1,582",6,"14,447"
5/17/20,974,313,257,824,873,"1,189","3,731",331,"1,828","2,561",7,54,"1,589",6,"14,537"
5/18/20,976,316,257,824,880,"1,200","3,742",331,"1,840","2,568",7,54,"1,593",6,"14,594"
5/19/20,981,317,257,825,883,"1,206","3,759",333,"1,853","2,575",7,54,"1,599",6,"14,655"
5/20/20,987,322,257,826,894,"1,216","3,780",334,"1,867","2,584",7,54,"1,617",6,"14,751"
5/21/20,995,322,257,826,896,"1,218","3,806",334,"1,892","2,611",7,54,"1,632",6,"14,856"
5/22/20,"1,001",322,257,826,909,"1,223","3,841",335,"1,913","2,634",7,54,"1,641",6,"14,969"
5/23/20,"1,015",322,257,826,915,"1,223","3,865",335,"1,922","2,649",7,54,"1,645",6,"15,041"
5/24/20,"1,019",322,258,826,917,"1,224","3,876",335,"1,934","2,665",7,54,"1,658",6,"15,101"
5/25/20,"1,019",322,260,827,917,"1,245","3,892",335,"1,944","2,669",7,54,"1,659",6,"15,156"
5/26/20,"1,023",323,260,828,918,"1,250","3,898",336,"1,948","2,675",7,54,"1,659",6,"15,185"
